Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"DDR_A_RASB","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.BB38","270","520","5C","[13,14]"
"FSB_DSTBP2#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.G19","1460","270","1C","[6]"
"FSB_DSTBP2#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.N25","1130","550","2B","[1]"
"DDR_A_WEB","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","J2B.73","120","780","5B","[14,8]"
"DDR_A_WEB","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","J3B.73","190","490","5C","[13,8]"
"DDR_A_WEB","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.BD39","270","530","5C","[13,14]"
"FSB_DSTBP3#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.C17","1460","280","1C","[6]"
"FSB_DSTBP3#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.C40","1130","540","2B","[1]"
"FSB_BPRI#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.G8","220","620","5B","[6]"
"FSB_BPRI#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.H38","810","220","3D","[1]"
"FSB_DBI0#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.A8","1460","350","1C","[6]"
"FSB_DBI0#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.L41","1130","520","2C","[1]"
"DDR_A_CKE_0","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","J2B.50","410","830","4A","[8]"
"DDR_A_CKE_0","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1C.BD25","270","550","5B","[13]"
"FSB_DBI1#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1E.G11","1460","360","1C","[6]"
"FSB_DBI1#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1N.E40","1130","510","2C","[1]"
